ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_31,Post,6,Trial    26,Arena 1,3:31,26.4,0.307,263.35,20,4,1,NA,NA,NA,NA,263.35,20,4,1
GS_Pred_NM_32,Post,4,Trial     4,Arena 2,11:46,26.2,0.387,632.907,20,326,1,NA,NA,NA,NA,632.907,20,326,1
GS_Pred_NM_32,Post,5,Trial    11,Arena 1,2:42,26.6,0.402,514.904,27,80,1,NA,NA,NA,NA,514.904,27,80,1
GS_Pred_NM_32,Post,6,Trial    24,Arena 2,2:51,25.8,0.398,430.255,20,360,0,NA,NA,NA,NA,430.255,20,360,0
GS_Pred_NM_33,Post,4,Trial     3,Arena 1,11:22,26.1,0.325,21.6491,1,360,0,NA,NA,NA,NA,21.6491,1,360,0
GS_Pred_NM_33,Post,5,Trial    15,Arena 3,4:18,26.5,0.325,357.925,22,1,1,NA,NA,NA,NA,357.925,22,1,1
GS_Pred_NM_33,Post,6,Trial    20,Arena 1,6:12,26,0.328,274.531,23,0,1,NA,NA,NA,NA,274.531,23,0,1
GS_Pred_NM_34,Post,4,Trial     1,Arena 2,10:24,25.3,0.368,101.282,12,360,0,NA,NA,NA,NA,101.282,12,360,0
GS_Pred_NM_34,Post,5,Trial    16,Arena 2,2:51,25.3,0.265,28.0858,1,360,0,NA,NA,NA,NA,28.0858,1,360,0
GS_Pred_NM_34,Post,6,Trial    28,Arena 4,4:13,26.5,0.273,23.7848,1,360,0,NA,NA,NA,NA,23.7848,1,360,0
